"date"	"level"
2018-08-23	53
2018-08-24	51
2018-08-25	55
2018-08-26	63
2018-08-27	68
2018-08-28	68
2018-08-29	69
2018-08-30	69
2018-08-31	65
2018-09-01	63
2018-09-02	76
2018-09-03	89
2018-09-04	109
2018-09-05	105
2018-09-06	97
2018-09-07	93
2018-09-08	95
2018-09-09	88
2018-09-10	87
2018-09-11	84
2018-09-12	82
2018-09-13	76
2018-09-14	70
2018-09-15	68
2018-09-16	73
2018-09-17	70
2018-09-18	71
2018-09-19	61
2018-09-20	58
2018-09-21	59
2018-09-22	56
2018-09-23	60
2018-09-24	72
2018-09-25	76
2018-09-26	77
2018-09-27	79
2018-09-28	72
2018-09-29	62
2018-09-30	59
2018-10-01	51
2018-10-02	52
2018-10-03	54
2018-10-04	67
2018-10-05	73
2018-10-06	70
2018-10-07	65
2018-10-08	65
2018-10-09	58
2018-10-10	57
2018-10-11	53
2018-10-12	48
2018-10-13	48
2018-10-14	43
2018-10-15	37
2018-10-16	37
2018-10-17	32
2018-10-18	28
2018-10-19	31
2018-10-20	24
2018-10-21	22
2018-10-22	20
2018-10-23	24
2018-10-24	22
2018-10-25	26
2018-10-26	25
2018-10-27	26
2018-10-28	24
2018-10-29	28
2018-10-30	47
2018-10-31	54
2018-11-01	49
2018-11-02	54
2018-11-03	51
2018-11-04	50
2018-11-05	49
2018-11-06	40
2018-11-07	37
2018-11-08	37
2018-11-09	33
2018-11-10	34
2018-11-11	38
2018-11-12	40
2018-11-13	41
2018-11-14	45
2018-11-15	41
2018-11-16	39
2018-11-17	35
2018-11-18	29
2018-11-19	27
2018-11-20	27
2018-11-21	27
2018-11-22	25
2018-11-23	27
2018-11-24	23
2018-11-25	25
2018-11-26	26
2018-11-27	26
2018-11-28	25
2018-11-29	25
2018-11-30	27
2018-12-01	30
2018-12-02	32
2018-12-03	55
2018-12-04	114
2018-12-05	155
2018-12-06	173
2018-12-07	157
2018-12-08	133
2018-12-09	136
2018-12-10	152
2018-12-11	169
2018-12-12	199
2018-12-13	194
2018-12-14	173
2018-12-15	156
2018-12-16	144
2018-12-17	128
2018-12-18	118
2018-12-19	113
2018-12-20	110
2018-12-21	116
2018-12-22	135
2018-12-23	161
2018-12-24	253
2018-12-25	328
2018-12-26	374
2018-12-27	380
2018-12-28	334
2018-12-29	283
2018-12-30	244
2018-12-31	214
2019-01-01	190
2019-01-02	181
2019-01-03	171
2019-01-04	159
2019-01-05	151
2019-01-06	149
2019-01-07	164
2019-01-08	195
2019-01-09	203
2019-01-10	203
2019-01-11	202
2019-01-12	195
2019-01-13	186
2019-01-14	225
2019-01-15	343
2019-01-16	401
2019-01-17	369
2019-01-18	316
2019-01-19	273
2019-01-20	244
2019-01-21	222
2019-01-22	198
2019-01-23	186
2019-01-24	176
2019-01-25	169
2019-01-26	161
2019-01-27	154
2019-01-28	158
2019-01-29	166
2019-01-30	168
2019-01-31	164
2019-02-01	158
2019-02-02	151
2019-02-03	153
2019-02-04	158
2019-02-05	159
2019-02-06	156
2019-02-07	151
2019-02-08	148
2019-02-09	146
2019-02-10	164
2019-02-11	202
2019-02-12	222
2019-02-13	243
2019-02-14	237
2019-02-15	214
2019-02-16	197
2019-02-17	184
2019-02-18	173
2019-02-19	168
2019-02-20	166
2019-02-21	163
2019-02-22	158
2019-02-23	154
2019-02-24	153
2019-02-25	153
2019-02-26	149
2019-02-27	144
2019-02-28	141
2019-03-01	141
2019-03-02	144
2019-03-03	164
2019-03-04	184
2019-03-05	179
2019-03-06	178
2019-03-07	182
2019-03-08	184
2019-03-09	179
2019-03-10	184
2019-03-11	202
2019-03-12	234
2019-03-13	257
2019-03-14	256
2019-03-15	272
2019-03-16	328
2019-03-17	425
2019-03-18	467
2019-03-19	448
2019-03-20	404
2019-03-21	358
2019-03-22	311
2019-03-23	276
2019-03-24	253
2019-03-25	232
2019-03-26	216
2019-03-27	203
2019-03-28	192
2019-03-29	182
2019-03-30	173
2019-03-31	161
2019-04-01	154
2019-04-02	146
2019-04-03	146
2019-04-04	154
2019-04-05	164
2019-04-06	173
2019-04-07	179
2019-04-08	174
2019-04-09	166
2019-04-10	171
2019-04-11	173
2019-04-12	166
2019-04-13	163
2019-04-14	161
2019-04-15	158
2019-04-16	148
2019-04-17	144
2019-04-18	142
2019-04-19	137
2019-04-20	134
2019-04-21	128
2019-04-22	125
2019-04-23	121
2019-04-24	121
2019-04-25	123
2019-04-26	127
2019-04-27	137
2019-04-28	154
2019-04-29	168
2019-04-30	176
2019-05-01	178
2019-05-02	171
2019-05-03	159
2019-05-04	151
2019-05-05	154
2019-05-06	159
2019-05-07	158
2019-05-08	158
2019-05-09	161
2019-05-10	178
2019-05-11	213
2019-05-12	246
2019-05-13	235
2019-05-14	226
2019-05-15	217
2019-05-16	200
2019-05-17	184
2019-05-18	173
2019-05-19	171
2019-05-20	166
2019-05-21	192
2019-05-22	318
2019-05-23	439
2019-05-24	445
2019-05-25	405
2019-05-26	355
2019-05-27	318
2019-05-28	293
2019-05-29	285
2019-05-30	276
2019-05-31	277
2019-06-01	276
2019-06-02	266
2019-06-03	246
2019-06-04	234
2019-06-05	231
2019-06-06	231
2019-06-07	234
2019-06-08	237
2019-06-09	241
2019-06-10	238
2019-06-11	243
2019-06-12	266
2019-06-13	294
2019-06-14	308
2019-06-15	309
2019-06-16	308
2019-06-17	308
2019-06-18	314
2019-06-19	312
2019-06-20	305
2019-06-21	309
2019-06-22	305
2019-06-23	309
2019-06-24	309
2019-06-25	297
2019-06-26	282
2019-06-27	268
2019-06-28	260
2019-06-29	247
2019-06-30	237
2019-07-01	232
2019-07-02	229
2019-07-03	225
2019-07-04	223
2019-07-05	220
2019-07-06	216
2019-07-07	211
2019-07-08	214
2019-07-09	213
2019-07-10	206
2019-07-11	200
2019-07-12	197
2019-07-13	200
2019-07-14	200
2019-07-15	186
2019-07-16	176
2019-07-17	178
2019-07-18	173
2019-07-19	168
2019-07-20	159
2019-07-21	154
2019-07-22	149
2019-07-23	144
2019-07-24	137
2019-07-25	135
2019-07-26	128
2019-07-27	127
2019-07-28	137
2019-07-29	164
2019-07-30	179
2019-07-31	189
2019-08-01	189
2019-08-02	181
2019-08-03	166
2019-08-04	163
2019-08-05	153
2019-08-06	141
2019-08-07	141
2019-08-08	166
2019-08-09	184
2019-08-10	171
2019-08-11	169
2019-08-12	169
2019-08-13	176
2019-08-14	176
2019-08-15	178
2019-08-16	179
2019-08-17	174
2019-08-18	169
2019-08-19	166
2019-08-20	161
2019-08-21	166
2019-08-22	192
2019-08-23	231
2019-08-24	244
2019-08-25	234
2019-08-26	217
2019-08-27	202
2019-08-28	190
2019-08-29	181
2019-08-30	176
2019-08-31	174
2019-09-01	171
2019-09-02	158
2019-09-03	153
2019-09-04	149
2019-09-05	148
2019-09-06	141
2019-09-07	134
2019-09-08	130
2019-09-09	135
2019-09-10	148
2019-09-11	166
2019-09-12	164
2019-09-13	154
2019-09-14	144
2019-09-15	137
2019-09-16	130
2019-09-17	120
2019-09-18	118
2019-09-19	113
2019-09-20	106
2019-09-21	103
2019-09-22	98
2019-09-23	95
2019-09-24	101
2019-09-25	110
2019-09-26	109
2019-09-27	111
2019-09-28	116
2019-09-29	120
2019-09-30	116
2019-10-01	112
2019-10-02	109
2019-10-03	107
2019-10-04	107
2019-10-05	116
2019-10-06	125
2019-10-07	139
2019-10-08	154
2019-10-09	186
2019-10-10	205
2019-10-11	220
2019-10-12	250
2019-10-13	231
2019-10-14	205
2019-10-15	184
2019-10-16	171
2019-10-17	173
2019-10-18	176
2019-10-19	178
2019-10-20	179
2019-10-21	203
2019-10-22	205
2019-10-23	202
2019-10-24	194
2019-10-25	190
2019-10-26	184
2019-10-27	173
2019-10-28	161
2019-10-29	153
2019-10-30	148
2019-10-31	151
2019-11-01	168
2019-11-02	185
2019-11-03	196
2019-11-04	198
2019-11-05	218
2019-11-06	235
2019-11-07	239
2019-11-08	236
2019-11-09	233
2019-11-10	242
2019-11-11	232
2019-11-12	212
2019-11-13	201
2019-11-14	189
2019-11-15	179
2019-11-16	170
2019-11-17	164
2019-11-18	159
2019-11-19	153
2019-11-20	149
2019-11-21	148
2019-11-22	146
2019-11-23	145
2019-11-24	140
2019-11-25	135
2019-11-26	129
2019-11-27	127
2019-11-28	126
2019-11-29	130
2019-11-30	146
2019-12-01	173
2019-12-02	214
2019-12-03	217
2019-12-04	203
2019-12-05	188
2019-12-06	172
2019-12-07	168
2019-12-08	168
2019-12-09	163
2019-12-10	164
2019-12-11	168
2019-12-12	185
2019-12-13	203
2019-12-14	224
2019-12-15	262
2019-12-16	295
2019-12-17	300
2019-12-18	292
2019-12-19	276
2019-12-20	260
2019-12-21	253
2019-12-22	241
2019-12-23	239
2019-12-24	249
2019-12-25	274
2019-12-26	311
2019-12-27	341
2019-12-28	327
2019-12-29	312
2019-12-30	306
2019-12-31	283
2020-01-01	255
2020-01-02	231
2020-01-03	215
2020-01-04	203
2020-01-05	194
2020-01-06	185
2020-01-07	181
2020-01-08	172
2020-01-09	170
2020-01-10	171
2020-01-11	174
2020-01-12	171
2020-01-13	162
2020-01-14	152
2020-01-15	146
2020-01-16	142
2020-01-17	134
2020-01-18	129
2020-01-19	122
2020-01-20	121
2020-01-21	119
2020-01-22	116
2020-01-23	111
2020-01-24	113
2020-01-25	112
2020-01-26	110
2020-01-27	109
2020-01-28	117
2020-01-29	135
2020-01-30	151
2020-01-31	160
2020-02-01	172
2020-02-02	210
2020-02-03	259
2020-02-04	362
2020-02-05	514
2020-02-06	544
2020-02-07	515
2020-02-08	454
2020-02-09	392
2020-02-10	345
2020-02-11	338
2020-02-12	347
2020-02-13	361
2020-02-14	362
2020-02-15	367
2020-02-16	374
2020-02-17	365
2020-02-18	341
2020-02-19	336
2020-02-20	341
2020-02-21	335
2020-02-22	319
2020-02-23	297
2020-02-24	280
2020-02-25	284
2020-02-26	306
2020-02-27	320
2020-02-28	335
2020-02-29	351
2020-03-01	371
2020-03-02	390
2020-03-03	407
2020-03-04	414
2020-03-05	406
2020-03-06	409
2020-03-07	440
2020-03-08	462
2020-03-09	459
2020-03-10	433
2020-03-11	425
2020-03-12	430
2020-03-13	436
2020-03-14	434
2020-03-15	420
2020-03-16	401
2020-03-17	364
2020-03-18	329
2020-03-19	305
2020-03-20	285
2020-03-21	274
2020-03-22	268
2020-03-23	263
2020-03-24	246
2020-03-25	230
2020-03-26	218
2020-03-27	210
2020-03-28	205
2020-03-29	198
2020-03-30	190
